Name;Url;Year/s;Certificate;Duration;Rating;Votes;
Escenario 0;/title/tt12667550/;(2020);16;;7.5;61;
Crims;/title/tt13276672/;(2020– );16;;8.5;116;
PINY Institute of New York;/title/tt10517218/;(2016–2020);;;8.2;10;
11M: El Principio del Fin;/title/tt17505924/;(2022);;60 min;9.6;185;
Señor, dame paciencia;/title/tt12481196/;(2022– );;50 min;6.7;33;
El día de mañana;/title/tt7587136/;(2018);16;;7.6;746;
Toledo;/title/tt2091188/;(2012);;;6.8;205;
Sentimos las molestias;/title/tt14369598/;(2022);16;;6.4;21;
Bandolera;/title/tt1790024/;(2011–2013);;50 min;6.1;81;
Brave Bunnies;/title/tt11660930/;(2021– );;7 min;8.2;8;
Los protegidos;/title/tt1534370/;(2010–2012);7;;6.5;782;
Digimon 02;/title/tt0243694/;(2000–2001);;30 min;7.4;1,644;
Little Charmers;/title/tt3523560/;(2015–2018);;22 min;5.5;135;
Los Espabilados;/title/tt10990110/;(2021– );12;;6.2;94;
¡García!;/title/tt14599306/;(2022);;60 min;;;
Acacias 38;/title/tt4546290/;(2015–2021);7;;5.3;125;
Lejos de ti;/title/tt7905506/;(2019– );12;;5.9;117;
Bellas y ambiciosas;/title/tt0497672/;(2006– );;;6.5;54;
Películas para no dormir: Para entrar a vivir;/title/tt0477311/;(2006 TV Movie);18;68 min;6.2;2,839;
Todo por el juego;/title/tt7893318/;(2018–2019);18;;6.9;139;
Imperium;/title/tt2293719/;(2012);;60 min;7.0;127;
La Ruta;/title/tt13347046/;(2022– );;;;;
Embrujadas: Demonios;/title/tt13837040/;(2022– );;25 min;;;
Mutant Busters;/title/tt6631632/;(2001– );;;6.4;91;
Shin Chan;/title/tt7769342/;(2016– );;;8.5;273;
El nudo;/title/tt10149980/;(2019–2020);12;50 min;6.3;190;
El desafío;/title/tt13658126/;(2021– );;;;;
Sin huellas;/title/tt15463246/;(2022– );;40 min;;;
Reyes de la noche;/title/tt12782398/;(2021);16;30 min;6.6;432;
Superzoo;/title/tt11386844/;(2018– );;;;;
UEFA Euro 2020;/title/tt9060910/;(2021);TP;90 min;7.5;125;
El Continental;/title/tt7930010/;(2018);16;80 min;5.2;131;
MasterChef;/title/tt2835906/;(2013– );;;6.8;232;
Caravaggio;/title/tt0814042/;(2007 TV Movie);;180 min;6.8;368;
I, Elvis Riboldi;/title/tt11570892/;(2020– );;11 min;6.5;48;
Così fan tutte;/title/tt2973692/;(2013 TV Movie);;190 min;7.3;92;
Vergüenza;/title/tt5868802/;(2017–2020);16;;7.2;1,003;
Luna, el misterio de Calenda;/title/tt2124494/;(2012– );;;7.3;575;
Con el culo al aire;/title/tt2095924/;(2012–2014);12;;6.1;441;
Rapa;/title/tt15063296/;(2022);;;;;
Policías, en el corazón de la calle;/title/tt0231040/;(2000–2003);13;60 min;6.8;168;
Películas para no dormir: Regreso a Moira;/title/tt0460897/;(2006 TV Movie);18;75 min;5.7;1,148;
Desconocidas;/title/tt18074418/;(2022– );;50 min;;;
El Estado contra Pablo Ibar;/title/tt5259834/;(2020– );12;;7.2;255;
Super Shore;/title/tt7643936/;(2016– );;50 min;4.0;21;
La señora;/title/tt1188965/;(2008–2010);7;72 min;7.4;300;
Las aventuras del capitán Alatriste;/title/tt2981532/;(2015);;;5.7;191;
¿Te gusta Hitchcock?;/title/tt0430676/;(2005 TV Movie);;93 min;5.6;2,730;
El hormiguero;/title/tt0870872/;(2006– );7;120 min;5.4;472;
Germanes;/title/tt1778260/;(2012 TV Movie);;80 min;6.1;19;
Digimon Data Squad;/title/tt1138300/;(2006–2008);;;6.7;836;
14 de abril. La República;/title/tt1784167/;(2011–2019);;;7.6;103;
LOL: Si te ríes, pierdes;/title/tt13189134/;(2021– );16;;6.5;171;
Capítulo 0;/title/tt8333560/;(2018– );16;25 min;7.2;343;
La última;/title/tt17564828/;(2022);;;;;
Cleo & Cuquin;/title/tt7956374/;(2018– );;7 min;8.0;98;
Los nuestros;/title/tt3749002/;(I) (2015–2019);;;6.3;216;
Deudas;/title/tt12526652/;(2021– );12;50 min;6.6;51;
Sandra: The Fairytale Detective;/title/tt1832767/;(2009– );;;8.2;47;
Five Nights at Freddy's: High School;/title/tt6338598/;(2016– );;;2.7;117;
Boku No Hero Academia: Realidad Alterna;/title/tt9162006/;(2018–2019);;;8.1;265;
This is Philosophy;/title/tt12023764/;(2020– );;;8.6;7;
Ventdelplà;/title/tt0450542/;(2005–2010);10;;5.5;147;
300;/title/tt4066210/;(2014– );TP;;1.2;222;
Cristo y Rey;/title/tt16437242/;(2022– );;;;;
El Presidente;/title/tt14656362/;(2021– );;;8.4;20;
Momonsters;/title/tt10949974/;(2020– );;;8.4;6;
Des del balcó;/title/tt0328736/;(2001–2002);;300 min;;;
Cannabis;/title/tt5046422/;(2016);;312 min;6.8;610;
Los simuladores;/title/tt0794240/;(2006–2007);;50 min;8.6;548;
Si lo hubiera sabido;/title/tt14463608/;(2022– );;;;;
El Corazón del Imperio;/title/tt12554932/;(2021– );12;;7.0;30;
Smiley;/title/tt18072556/;(II) (2022– );;;;;
Traición;/title/tt7197710/;(2017–2018);12;;6.7;140;
La Riera;/title/tt1570512/;(2010–2017);13;;6.2;100;
Got Talent España;/title/tt5651816/;(2016– );;;6.1;26;
Stevie;/title/tt1303233/;(2008 TV Movie);PG-13;94 min;4.9;597;
Secretos de Estado;/title/tt7158674/;(2019);16;;6.8;98;
Ana y los 7;/title/tt0303421/;(2002–2005);TP;70 min;2.5;373;
Vitamina N;/title/tt0436000/;(2002–2004);;;;;
Relatos con-fin-a-dos;/title/tt12492600/;(2020);16;20 min;5.7;115;
Viva la vida;/title/tt7304018/;(2017– );;;2.3;12;
By Ana Milán;/title/tt12961690/;(2020– );16;;6.9;89;
Dr Jack et Mr Nicholson;/title/tt10691004/;(2019 TV Movie);;54 min;6.7;298;
Indetectables;/title/tt6136416/;(2017– );;;6.5;19;
Yo Yo;/title/tt6751440/;(2017– );;7 min;8.2;10;
La isla de las tentaciones;/title/tt10999152/;(2020– );16;120 min;5.7;65;
Laia;/title/tt5101196/;(2016 TV Movie);;84 min;6.3;34;
El síndrome de Ulises;/title/tt1076950/;(2007–2008);;70 min;4.1;123;
El incidente;/title/tt3913562/;(2017);16;;4.5;153;
LEGO Masters;/title/tt15467116/;(2021);;;8.2;6;
Ciega a citas;/title/tt3540354/;(2014);7;;6.9;100;
El cor de la ciutat;/title/tt0338590/;(2000–2009);13;25 min;5.9;180;
Desmontando instintos;/title/tt13555862/;(2020 TV Movie);;52 min;7.6;37;
Ángel o demonio;/title/tt1728967/;(2011);12;60 min;6.9;284;
Justo antes de Cristo;/title/tt9272462/;(2019– );16;;6.2;382;
Doctor Mateo;/title/tt1320315/;(2009–2011);7;70 min;6.3;300;
Pesadilla en la cocina;/title/tt2555320/;(2012– );;;7.3;96;
¿Existe Sexo en Nueva York?;/title/tt0442579/;(2004 TV Movie);;30 min;4.8;8;
Crusader;/title/tt0402114/;(2005 TV Movie);R;100 min;4.4;406;
Infidels;/title/tt1360377/;(2009–2011);;;7.7;68;
Cuenta atrás;/title/tt0948186/;(2007–2008);;60 min;6.1;166;
Laura y el misterio del asesino inesperado;/title/tt15378928/;(2022 TV Movie);;;7.5;85;
Derecho a soñar;/title/tt7040156/;(2019);7;;6.4;16;
Hermanos;/title/tt2677972/;(2014);;;6.7;168;
La familia Mata;/title/tt1077045/;(2007–2009);12;60 min;5.0;124;
El Caso. Crónica de sucesos;/title/tt5134214/;(2016);12;;7.2;259;
Chica busca chica;/title/tt1578145/;(2008– );;10 min;5.5;194;
Lex;/title/tt1202429/;(2008);13;;5.4;117;
Yo soy Bea;/title/tt0824262/;(2006– );;35 min;3.5;248;
Gym Tony;/title/tt4068834/;(2014– );12;;2.6;320;
Hay alguien ahí;/title/tt1299313/;(2009–2010);;60 min;7.0;176;
Goenkale;/title/tt0241105/;(2000– );;;6.0;35;
Mis adorables vecinos;/title/tt0406439/;(2004–2006);7;60 min;6.3;569;
Chegar a Casa;/title/tt13364344/;(2021);;;8.2;81;
El accidente;/title/tt6511502/;(2017–2018);16;;6.2;195;
El fin de la comedia;/title/tt4162922/;(2014–2017);12;;7.9;574;
Adán y Eva;/title/tt4139772/;(2014– );;;3.6;15;
Wild Frank;/title/tt3733108/;(2014– );;;7.6;103;
Sexo en serie;/title/tt1287498/;(2008 TV Movie);;27 min;6.9;77;
Cuéntame un cuento;/title/tt2275451/;(2013– );16;;6.4;148;
Road Trip;/title/tt10916470/;(2020–2021);;;7.1;33;
Club Houdini;/title/tt7538258/;(2017– );TP;12 min;6.9;29;
LAI NAI de Torbe;/title/tt12194174/;(2019– );18;;;;
El grito de las mariposas;/title/tt14648296/;(2021– );;;;;
Edición Especial Coleccionista;/title/tt1749539/;(2010–2015);7;9 min;6.7;90;
Plutón B.R.B. Nero;/title/tt1245696/;(2008–2009);7;35 min;6.0;362;
Àrtic;/title/tt3185588/;(2013– );;;7.5;11;
Momo;/title/tt6426556/;(2003);;;6.7;22;
